"usage_date","account_id","service","region","cost","robust_z","ewma_z","iqr_flag","ensemble_votes","severity","explanation_seed","explanation","run_id","created_at"
"2025-09-19","UNKNOWN","AmazonEBS","us-west-2","0.612624","-9.941585632670796","-2.196500855694591","true","2","16.13808648836539","""On 2025-09-19"," cost=0.61 for account=UNKNOWN"," service=AmazonEBS"," region=us-west-2 flagged (votes=2); robust_z=-9.94"
"2025-09-19","UNKNOWN","AmazonS3","us-west-2","32696.976249","-9.269614325390428","-2.1890403536294505","true","2","15.45865467901988","""On 2025-09-19"," cost=32696.98 for account=UNKNOWN"," service=AmazonS3"," region=us-west-2 flagged (votes=2); robust_z=-9.27"
"2025-09-19","UNKNOWN","AmazonEBS","us-east-1","0.646478","-6.030316376961953","-2.184227247287952","true","2","12.214543624249906","""On 2025-09-19"," cost=0.65 for account=UNKNOWN"," service=AmazonEBS"," region=us-east-1 flagged (votes=2); robust_z=-6.03"
"2025-09-19","UNKNOWN","AWSLambda","us-west-2","0.146831","-6.004239895189057","-2.058194540944631","true","2","12.062434436133689","""On 2025-09-19"," cost=0.15 for account=UNKNOWN"," service=AWSLambda"," region=us-west-2 flagged (votes=2); robust_z=-6.00"
"2025-09-19","UNKNOWN","AmazonEC2","us-east-1","9.146292","-5.381931229406495","-2.1438446390689343","true","2","11.52577586847543","""On 2025-09-19"," cost=9.15 for account=UNKNOWN"," service=AmazonEC2"," region=us-east-1 flagged (votes=2); robust_z=-5.38"
"2025-09-19","UNKNOWN","AWSLambda","eu-west-1","0.138499","-4.878220739858362","-2.156939141765959","true","2","11.03515988162432","""On 2025-09-19"," cost=0.14 for account=UNKNOWN"," service=AWSLambda"," region=eu-west-1 flagged (votes=2); robust_z=-4.88"
"2025-09-19","UNKNOWN","AmazonCloudFront","us-west-2","402.700252","-4.879806396655185","-2.0684323067985635","true","2","10.948238703453748","""On 2025-09-19"," cost=402.70 for account=UNKNOWN"," service=AmazonCloudFront"," region=us-west-2 flagged (votes=2); robust_z=-4.88"
"2025-09-19","UNKNOWN","AmazonS3","us-east-1","83712.166738","-4.391679467017354","-2.1269824456231716","true","2","10.518661912640525","""On 2025-09-19"," cost=83712.17 for account=UNKNOWN"," service=AmazonS3"," region=us-east-1 flagged (votes=2); robust_z=-4.39"
"2025-09-19","UNKNOWN","AWSLambda","us-east-1","0.117487","-4.114880092730008","-2.05782492040621","true","2","10.172705013136218","""On 2025-09-19"," cost=0.12 for account=UNKNOWN"," service=AWSLambda"," region=us-east-1 flagged (votes=2); robust_z=-4.11"
"2025-09-19","UNKNOWN","AmazonEBS","us-west-2","0.612624","-9.941585632670796","-2.196443250358834","true","2","16.13802888302963","""On 2025-09-19"," cost=0.61 for account=UNKNOWN"," service=AmazonEBS"," region=us-west-2 flagged (votes=2); robust_z=-9.94"
